control_set,weather_bins,minimum_adjusted_gap,maximum_adjusted_gap,mean_adjusted_gap
Airport-calendar-weather,4,0.030256422870871345,0.03224142606567008,0.031279672956509755
Full operating context,4,0.026696006562165274,0.02826955380023976,0.027511928775870272
Traffic-carrier added,4,0.027362855603720586,0.028825172641616995,0.028143481055984593
