weather_intensity_bin,eligible_origin_weather_cells,positive_gap_cells,positive_gap_share,arrival_weighted_gap,minimum_cell_gap,maximum_cell_gap,weather_bin_order
W1 mild,43,41,0.9534883720930233,0.06182026452973268,-0.022617692301148795,0.11531458152852248,1
W2 moderate,43,42,0.9767441860465116,0.06193490036449146,-0.04014073013165051,0.12585376078336252,2
W3 severe,43,42,0.9767441860465116,0.05779657817587614,-0.07950548591040923,0.12227574654940127,3
W4 extreme,43,38,0.8837209302325582,0.04902953847669556,-0.07288917786384047,0.12440203422070151,4
