high_workload_quantile,weather_intensity_bin,raw_gap_high_minus_normal,adjusted_gap_high_minus_normal,top20_captured_burden_share
0.7,W1 mild,0.058399349055299254,0.027026660696669102,0.7713019193295492
0.7,W2 moderate,0.05720845411794637,0.025519015024534023,0.7713019193295492
0.7,W3 severe,0.05221791144985527,0.025405414724508326,0.7713019193295492
0.7,W4 extreme,0.04387319416186475,0.026040670379501252,0.7713019193295492
0.75,W1 mild,0.06124101664167622,0.02822475034224344,0.7643439556388087
0.75,W2 moderate,0.06056607064222164,0.027142690928195334,0.7643439556388087
0.75,W3 severe,0.05546376945146225,0.02668222746744977,0.7643439556388087
0.75,W4 extreme,0.04665220859813479,0.027916884875060728,0.7643439556388087
0.8,W1 mild,0.06380811291910485,0.029739391643527516,0.7588197487360189
0.8,W2 moderate,0.06337001883734195,0.030310226821153117,0.7588197487360189
0.8,W3 severe,0.06223254589728902,0.03163696904326968,0.7588197487360189
0.8,W4 extreme,0.051228683455048996,0.033162224774528945,0.7588197487360189
