weather_intensity_bin,normal_route_days,high_workload_route_days,normal_flights,high_workload_flights,normal_arr15_rate,high_workload_arr15_rate,raw_gap_high_minus_normal,raw_gap_se,raw_gap_ci_low,raw_gap_ci_high,raw_gap_significant,adjusted_normal_arr15_rate,adjusted_high_workload_arr15_rate,adjusted_gap_high_minus_normal
W1 mild,124520,49666,813857,356942,0.1899254505195365,0.2511664671612127,0.06124101664167622,0.0008519631255474022,0.059571168915603316,0.06291086436774913,True,0.2000012688422699,0.22822570953263768,0.0282244406903678
W2 moderate,126443,47743,825326,342281,0.2128758042311863,0.27344187487340793,0.06056607064222164,0.0008930536453434317,0.05881568549734851,0.062316455787094764,True,0.22265228242038032,0.2497953651658791,0.027143082745498794
W3 severe,130301,43884,866302,329931,0.23702319678488332,0.29248696623634557,0.05546376945146225,0.0009244991614691923,0.05365175109498264,0.05727578780794187,True,0.24494020521158957,0.2716217945555894,0.026681589343999796
W4 extreme,137914,36272,943938,297324,0.2913336737220631,0.3379858823201979,0.04665220859813479,0.0010023154186143953,0.044687670377650576,0.04861674681861901,True,0.29582135126494447,0.3237352012862878,0.02791385002134332
