year,weather_intensity_bin,normal_route_days,high_workload_route_days,normal_arrivals,high_workload_arrivals,normal_arr15_rate,high_workload_arr15_rate,raw_gap_high_minus_normal,raw_gap_se,raw_gap_ci_low,raw_gap_ci_high
2024,W1 mild,62318,25805,403521,184093,0.18522951717506647,0.24334439658216228,0.05811487940709581,0.0011722611692758017,0.055817247515315235,0.060412511298876384
2024,W2 moderate,61660,24282,394152,172830,0.20561610749152612,0.2679974541456923,0.0623813466541662,0.0012447802114145272,0.059941577439793725,0.06482111586853867
2024,W3 severe,64872,22276,421644,163484,0.23427109125233608,0.2904749088595826,0.05620381760724652,0.0012985062421846576,0.05365874537256459,0.05874888984192845
2024,W4 extreme,68921,19332,447511,156514,0.27963781895864015,0.32540858964693253,0.045770770688292384,0.0013611317929222908,0.04310295237416469,0.048438589002420075
2025,W1 mild,62202,23861,401716,167610,0.19464248374473508,0.2597577710160492,0.0651152872713141,0.0012399301430932764,0.06268502419085129,0.06754555035177692
2025,W2 moderate,64783,23461,420135,162894,0.21968652932985827,0.2792183874175844,0.05953185808772615,0.0012819991150737674,0.05701913982218157,0.062044576353270736
2025,W3 severe,65429,21608,429336,158756,0.23972599549071125,0.2945589458036232,0.05483295031291194,0.0013165861097778253,0.0522524415377474,0.05741345908807648
2025,W4 extreme,68993,16940,465171,130927,0.302585500815829,0.35302114919000666,0.05043564837417763,0.0014826051733258575,0.04752974223445895,0.053341554513896314
