pressure_cell,route_days,flights,arr15_obs,flight_weighted_arr15_rate,mean_route_day_arr15_rate,flight_weighted_cancel_rate,mean_arr_delay
low_pressure,198209,1347877,1339730,0.15111403043896904,0.14585697090601502,0.005089485168157035,
workload_only,81272,609257,604932,0.20121931060019968,0.19851053855339956,0.005833334701119561,
weather_only,519178,3449423,3383186,0.2346527799535704,0.225544459091539,0.016290550622524404,
joint_weather_workload,177565,1326478,1297108,0.28643644168411575,0.28195664363373685,0.018646370312964105,
