context_dimension,eligible_stratum_weather_cells,positive_gap_cells,positive_gap_share,arrival_weighted_gap,minimum_cell_gap,maximum_cell_gap,total_arrivals_in_cells
Origin size,12,12,1.0,0.05628201618399674,0.04127024146434283,0.06544328023476267,4680294
Route volume,12,12,1.0,0.056009142513356404,0.04344279458671585,0.06370526467828436,4680294
Route carrier count,12,12,1.0,0.054640949913896425,0.04155981364750394,0.06270154725938318,4680294
Route peak share,12,12,1.0,0.055431340217061364,0.04156098233407135,0.06909246539526856,4680294
Origin peak share,12,12,1.0,0.05488873576319129,0.03037946949111958,0.07223403568902192,4680294
Origin carrier breadth,12,12,1.0,0.05440729277660445,0.04273903562022896,0.07790905820988575,4680294
Origin destination breadth,12,12,1.0,0.05428198555773596,0.03823035873023772,0.07755790575637261,4680294
