top_route_day_share,route_days,captured_positive_excess_arr15,captured_burden_share,total_positive_excess_arr15
0.01,1776,15908.807199038429,0.10546135198576895,150849.6420677897
0.05,8879,51802.407906906265,0.34340424807655157,150849.6420677897
0.1,17757,80275.83977359228,0.532157973152614,150849.6420677897
0.2,35513,115301.01212479283,0.7643439556388087,150849.6420677897
0.3,53270,134950.68458978494,0.8946039429721683,150849.6420677897
0.5,88783,150800.23673980415,0.9996724862763455,150849.6420677897
