origin_climate_group,selected_route_days,selected_flights,observed_positive_excess,mean_observed_positive_excess,collapse_window_share,mean_arr15_rate,mean_workload_percentile,mean_weather_score,selected_excess_share
Humid subtropical / thunderstorm,2541,29816,5639.29346969036,2.2193205311650375,0.5600157418339237,0.4139247396139342,0.8886959742574715,16.6100826446281,0.27589902570240954
Cold/snowbelt,2265,35743,5515.787887538602,2.435226440414394,0.5072847682119205,0.37421939744183436,0.8733541098558629,18.44083002207506,0.2698565897186071
Western dry / high-altitude,1634,24284,3528.5339597832676,2.159445507823297,0.49571603427172584,0.3636658126486816,0.9012054880305144,14.293696450428397,0.1726313920164758
Pacific low-cloud,1520,26925,2853.622383531502,1.8773831470601985,0.41907894736842105,0.33094875894099013,0.8911967204262367,22.75161842105263,0.13961175093484862
Northeast dense metro,778,10595,1508.5726265236108,1.939039365711582,0.47429305912596403,0.3553231250598697,0.8485444455775973,17.090874035989717,0.07380600426209817
Tropical / Florida,676,8470,1393.8902312558316,2.0619677977157274,0.5,0.3825906951222637,0.9110847586592089,20.527810650887574,0.06819523736556066
