heldout_climate_group,train_route_days,test_route_days,weighted_rmse,weighted_mae,top20_delayed_arrival_capture
Cold/snowbelt,852061,121473,0.19108912393842217,0.14920010876525652,0.35335553537188413
Pacific low-cloud,807872,165662,0.1794984737357006,0.13940099155921518,0.275849234865511
Western dry / high-altitude,814823,158711,0.17887958434037754,0.13788103426600887,0.3282656421514819
Humid subtropical / thunderstorm,697002,276532,0.20152960078623305,0.1535709803972486,0.3667844176233932
Tropical / Florida,875478,98056,0.2050849857287937,0.15587862147869813,0.3332487889010069
Northeast dense metro,820434,153100,0.20052722883510501,0.15513793887197794,0.3291948699679373
